x1lliihq 4,x1lliihq 11,x1lliihq 12,x1lliihq 13
"Did u guys know yang batch 08 ni sebenarnya batch paling special dalam sejarah Malaysia sebab diorang je satu-satunya batch tak pernah hadap exam besar as UPSR, PT3/PMR.","Hidup dalam pembelajaran online, takde exam besar, takwim SPM dipercepatkan, laju kejar silibus. Perhhh mesti pressure ek batch ni.",batch 08,
"ape sial sangat eh semua petugas kt klia 2 ngn airasia sampai mak aku nangis² call aku sebab kena maki hamun dengan petugas kt sana sebelum naik flight. dorng cakap ""bodoh, anjing, miskin, kau ni rohingya en? asal kau dtg malaysia?"" ape salah mak aku? sebab dia pakai passport bangla je layak ke kena hina? eh kitorng pakai passport bangla pun visa kitorng mm2h, salah satu income negara malaysia ni dari duit visa kitorng. nasib baik la mak aku lupa videokan muka korng kalau tak mmg aku cari semua",,,
Bagus abang ni VO. Terasa seperti bercakap dengan kita. Suara dia pun sedap didengar pulak tu 👍🏼,Mesti abang ni ex-DJ radio kan? Tak pun pernah VO iklan komersil? 😅,Malaysia Threads,
Yesterday I posted a thread about South East Asian countries and apparently lots of people dislike Malaysia.,"Feels unfair, but I like it - less crowds, less tourist spoilt spots.",,WDYT?
"Maafkan saya, Malaysia. Saya seorang rakyat Amerika yang bodoh dari Taiwan. Saya tidak tahu bagaimana untuk menyebut bahasa awak yang indah itu. 🙏🏽🙇🏻‍♀️",,,
hello,,5sos Malaysia,
Tukang sebar Fake News isu kononnya Malaysia jual Diesel ke Filipina dah kena kutip oleh MCMC,Korang kenal tak tangan siapa tu?,,Gaya macam tengah merayu minta ampun je 🤭
Meh la share bisnes korang kita support each other,APR 05 – MAY 04 2026,Malaysia Threads,
"Kesalahan Grammar Rakyat Malaysia Online
(Bukan bitter, saja suka suki tau… kitonyo teacher)","❌Thanks me later
✅ Thank me later",,"❌Let’s unboxing 
✅ Let’s unbox"
5SOS Everyone's A Star artist presale was NOT for the weak 😭 The chaos just to buy the ticket 💀💀 Thank you,#everyonesastarworldtour #5sosmalaysia #5sos #fyp,5sos Malaysia,and seaicry WE DID ITTTTT
"Eventhough I am Chinese but to be honest I really kecewa dengan bangsa Cina yang can't speak Malay lepas tu nak bagi alasan ""it's okay I can speak English or Mandarin, that's enough"". Jangan cari alasan lah you are living in Malaysia, maybe you should relearn Malay language in primary school.",,Malaysia Threads,
"Malaysia witnessed its political tsunami in 2008.
Now, Tamil Nadu is experiencing its own wave of change.
Grateful to see that in both moments, my favourite party is on the winning side.",,TVKVijay,
Alhamdulillah I’m back in Malaysia. 🛬🫶🏻,,,
"🔥 MOST TOXIC WORKPLACES IN MALAYSIA (PERCEIVED) 
🥇 Medical / Healthcare (Public Sector)
🥈 Corporate – Banking & Finance
🥉 Big Corporate / GLCs
4️⃣ SMEs (Family-run companies)
5️⃣ Sales- Based companies",,,
too stunned to speak tapi redhaaa,,5sos Malaysia,
Hi guys. Harini nak share sambungan list of MNC dekat malaysia. Aku malas ikut urutan so below are company yang aku tau and some of their benefits.,Huruf M!,,
Penat tengok Bella Astillah nyanyi 😣,📹: TT tv3malaysia,,
"gay lgbt tiada tempat di malaysia
Eh silap, di Dunia.",Sumber: Allah sang pencipta sendiri benci Gay dan LGBT. Sudah sudahla,,
Looking for freelance writers 🎉,"The Fragrance Festival Malaysia team is expanding our pool of writers to cover stories within the Malaysian perfumery scene. If you have a strong voice, sharp perspective, and an interest in fragrance, we would love to hear from you.",,Send your portfolio and rates to
maju betol malaysia skrg boleh kalahkan thailand👍,,,
"hasil main mega selama 3bulan, saving duit lain kat bank lain",,Malaysia Threads,
😂😂 i dont know but seems nara peoples quite right. coz i know anna-san content creator base at malaysia. she quite calm.,,,
Morning.. Yeahh Sy dah register HM Malaysia Marathon 🫡🥰🤲🏻,,,
Usop Wilcha pernah berkata itulah pentingnya English Education 👋🏻,"🇲🇾 Malaysia: Offer good hospitality 
🇮🇩 Indonesia: Kau yg akan masuk hospital esok",,"Hospitality tu layanan baik, mesra bukan hospital ya Pakk"
"lebih 20 tahun Tun M bina Malaysia, mai dia tak sampai 5 tahun, punah ranah jadinya...",,,
"Lantak korang la nak gaduh malaysia dengan korea
Aku mala nak masuk campur 🔄",,,
"Hi 5SOS FAM!
Battling for general sale today,but i still have 2x standing tickets to let go.
Letting go at original price+TS fee
DM",,5sos Malaysia,
Ranking International IQ Test 2026,"🇸🇬 Singapura — No.7 dunia (103.56)
🇲🇾 Malaysia — No.49 dunia (98.51)
🇮🇩 Indonesia — No.126 dunia (89.96)",,
Aku nak tanya ni memang ada ke manusia di Malaysia ni yang pernah dapat beli handphone RM9.90 dekat Temu tu?,,,
"Looking for extra Verknipt GA tickets, please HMU. I need a few.",,Verknipt Malaysia 2026,
Hi guyssss,Aku dapat another statistic for average salary range in Malaysia for 2025,,"Hari ni aku share for:
Accounting, Finance and Banking"
Hello,,5sos Malaysia,can we at least get an explanation LIKE WTH the ticket booking fees are hella expensive?!!! Comparing with my Daniel Caesar ticket... the fees gape ARE HUGE? Like what is this?
Thank you yasmin for your order!🫶🏻🩷⭐️,"#weddinginvitation #tunang #kadkahwindigital #majliskahwin #digitalcard weddingvideo
walimatulurus malaysia",,
"Honestly, Sephora Malaysia really needs to step up when it comes to hiring SAs. Makeup is such a passion driven industry. Customers masuk kedai feeling excited, curious, and ada yang baru nak kenal make up. The least you can do is match that energy with good vibes and basic social skills. Why is it that every time I walk in, I yang end up chasing the staff instead? My experience at IOI City Mall today was just…off.",,sephora malaysia,
"If i get two tickets tomorrow for 5SOS kan, ada tak nak beli my ticket that i bought today? I have one ticket. Janji jual original price ❤️","CAT4, Section 403, Row B 🥹",5sos Malaysia,
"Kalau victim tu perempuan mulalah semua orang nak victim blaming, dari dulu sampai sekarang. instead of questioning the victim’s clothes, keberadaan etc.. question lah si penjenayah tu.","instead of , “the crime wouldn’t be committed of the victim hadn’t bla bla bla..”",Malaysia Threads,"we should consider, “the crime wouldn’t be committed if the culprit hadn’t been there, planned it or been involved”"
Hi! I am currently seeking an internship placement,- Course: Bachelor of Accountancy (Hons),internship,"- Universiti Utara Malaysia, Kedah"
"What sucks as a sarawakian who loves attending concerts is that we don’t just think about concert tix price, we gotta think about flights and hotels and other expenses too 🫠",,concert Malaysia,
Grand opening for new store Adidas Original ✨,"📍Adidas Original , The Campus Ampang",adidas Malaysia,
"Since i secured my tickets, im planning to do freebies hehe. If there’s anyone doing freebies too, maybe we can exchange?",,5sos Malaysia,
SEDIHNYA TAK DAPAT VIP TICKET TODAY 😭😭😭 AND TODAY’S MY BIRTHDAY IM CRYINGGGGGGGGGF I WANNA SEE LUKE ASH CAL MIKEYYY DEPAN DEPAN AHMAGAD ADA HOPE LAGI KE ESOK 😭😭😭😭,,5sos Malaysia,
"Langkawi, Malaysia, lets the coast do all the talking for you.",,,
5sos malaysia fans ? Dont u think we need to report for the extra booking fee ? Its ridiculous and scammers,,,
"Malaisie tu Malaysia lah benak,buat malu negara je.",,,
"After seeing how tourists act during Songkran in Thailand, I’d rather Malaysia stay unpopular, underrated and boring.",,,
"For recruiters in MALAYSIA, if you’re not planning to hire someone, kindly REJECT them. Tak kisahlah kau reject through email ke, WhatsApp, or even job apps. JUST REJECT them if they’re not selected.","It’s honestly frustrating. Applying almost 100+ jobs, and all you get is ‘Has viewed your application’… lepas tu SENYAP. 
We’ve tried everything, Approaching via LinkedIn, chatting through apps, and more… but still, ghosting.",recruiter,
"Check out this old terrace house transformation in Kuala Lumpur, Malaysia🏡✨The industrial interior design mixed with natural elements brings a fresh, calming atmosphere💯🌿",.,,Designed by Studio Bikin
Nampaknya Malaysian suka cerita Malaysia 🤗,MAR 22 – APR 20 2026,,
"Malaysia ni takde lah perfect. Tapi everytime aku travel negara sebelah (malas nak sebut negara apa), aku rasa Malaysia ni quite systematic, teratur and tahap kebersihan tu okay.",Aku sangat bersyukur jadi orang Malaysia. A proud Malaysian 😊,,
Ya الله.,ambil lah cuaca panas Malaysia ni & berikan ke askar Israel.,,
"To some of those yg dapat tickets, I hope you know more than slsp, amnesia and youngblood, like yeah we get it they’re not underground and they are famous widely because of these songs, but if you ask these same ppl about everyone’s a star, 5sos5, or calm or even their solo stuffs, complete silence, its just unfair how the real 5sosfam did not get any tickets because of these people and those scalpers obviously",,5sos Malaysia,
Haritu aku ada ternampak ni. Ada sesapa tahu ke apa masalah kaki kita jadi mcmni?,,Malaysia Threads,
"ROHINGYA MEMBAWA KAWAN2 
MAT SALLEH HADIR JEMPUTAN PERKAHWINAN 
ARAKAN ROHINGYA DENGAN MEMAKAI PAKAIAN 
TRADISIONAL MELAYU, DI MALAYSIA ❤️",,,
Do you think this should be tolerated?,,driving in malaysia,
"Threadians, can you connect me with videographers who can do 1-min+ reels? 
Based in KL, Malaysia",Let's connect.,,Events lining up.
Hi guys!,Jom aku sambung share list of MNC dekat malaysia. Harini kita buat huruf S!,,Kat bawah aku share jugak a few of their benefits that Im aware of
Normalise this before travelling overseas:,"Do a health check-up.
Make sure your existing illness is well controlled.
Prepare enough medication.
And most importantly, get travel insurance.",,"Sebab bila kita berada di luar negara, kita bukan lagi dalam sistem rawatan RM1 seperti di Malaysia."
abang,,5sos Malaysia,
One of the reason we need The Strokes in Malaysia. absolute ball of steel. educating US people in the US soil.,,,
Dara. Amoi. Kelat. 🐘,"Three Malaysian elephants, one Japanese zoo and a growing call to bring them back where they belong.",dara amoi kelat,"Malaysia's government is now backing the push. Your move, Zoo Taiping. #DAK"
"Guyss, boleh spill dak medical device company/consultant kt malaysia yg ada good benefitss package? Tk kisah laaa MNC or local..",,,
"Orang yang pernah or date Japanese, why do they reply lambat ek. 😭 talking stage haritu replies really late padahal dia yang buat planning, and my friend replies HOURS late to dia punya talking stage and the guy also replies hours late. Kita ni tak nak tekan tekan orang😭😭",,Malaysia Threads,
in need of ticketing service for 5sos general sale tomorrow. penat la nak battle to secure 3 tix 🥲🥲🥲,,5sos Malaysia,
"malaysia army, when bts come to malaysia.. please. i mean, PLEASE. please behave and jangan buat apa2 yg crossing line. it has been 11 year since they last come back, we have to behave and be respectful and mature so they would still plan to come back again the next world tour. therefore, there will be no excuses for the politics to talk about banning concert or even talk shit about the boys. so please, behave ya!",,,
A new chapter begins - Singapore - Malaysia (JB) Cross Border GrabCab,,Grab Cross Border,#GrabCabCrossBorder
hii siapa need help for ticketing todayy ?,,5sos Malaysia,
"Dear algorithm, Please show me more of women in Malaysia, especially in Selangor. People who like hobby classes, travelling, sports, culture, arts, levelling up in their careers, public speaking, gallery and cafe hopping, and building businesses.",We’re Hustle Honeys 👋🏽 A networking and social club for women in KL. We host monthly activities for you to make new friends and level up your skills and fun interests. Networking has never been this fun! 🥰,Female Communities KL,
Sijil Profesional Antarabangsa Paling Laku di Malaysia (2025),Nak 'upgrade' karier di Malaysia? Pengalaman saja mungkin tak cukup.,,"Majikan sekarang cari calon yang ada kemahiran spesifik, dan cara terbaik untuk buktikannnya adalah melalui pensijilan antarabangsa."
"charging RM70+ for service fee is crazy, this is the most absurd concert service fee i’ve ever seen, almost feel like being scammed",,5sos Malaysia,
Siapa setuju kita bina Malaysia Baharu tanpa DAP.,,,
"Malaysia Marathon public registration open at 10am, LIHM 26 open at 11am.
Which one are you joining?
Malaysia Marathon had RM50k cash if you broke record.
LIGM Staycation with friends and family.",,Running Threads,
what’s the point of imitating/giving the hair-like illusion while wearing HIJAB? please jangan bawak trend bodoh macamni masuk Malaysia,,,
Indonesian duduk Malaysia seronok claim diri as Sabahan . hati hati guys lagi lagi yang ada suami kerja tentera atau polis 🫣,,,
"Malaysia kebanykkan kita dengar lelaki curang tapi kalau dekat indonesia jangan main giler weh, perempuan mengandung pun boleh pergi check in dengan lelaki lain pastu mati kena bun*h, ada viral baru ni suami handsome mcm K-pop, anak 3 pun boleh curang dgn muka jawa. Perempuan sana Nafsu serakah lain mcm 🥲 Bersyukurlah duduk Malaysia yaa 🤲🏻",,,
"Trump dtg malaysia, imam² masjid sila kuatkan speaker tiap kali masuk waktu Solat. Trump kan tak suka dgr Azan so Inilah masanya kita bagi Syaitan terbakar 😌",,,
"Dear One Ok Rock team, we want OOR movie in cinema kat Malaysia jugak. Ktorg nak sambung PCD kat movie plak😭😭😭 please OOR team, make it available in malaysia too🙏🙏🥺😭",,one ok rock,
Hello MY 5SOS Fans,I managed to secure a ticket for my girlfriend but was in a rush & I filled in my personal details instead of her.. can she still go under my name?,5sos Malaysia,Please say YES anyone 😭
"The prince never runs, he always completes his missions. putra.abdullahh 👑
JTT FAMILY 🤍✨
#byon7 #byoncombatshowbiz🥊🔥 #malaysia #indonesia",,,
"Orang baik utk orang baik memang betul, because good people naturally attract each other. When your heart is sincere, kind n genuine, you will meet someone with the same energy. It may take time n sometimes life tests your patience, but everything happens for a reason. Don’t lose hope or change who you are. The right person will come at the right moment, appreciating you for who you truly are. Just trust the journey.",,Malaysia Threads,
"Kau memang lelaki paling bangsat. Bodo kata pergi oustation rupanya curang check in dengan 2 betina 1 hotel, siap pernah bagi pregnant & gugurkan baby tu. Memang aku viralkan kau 1 Malaysia biar tak ada betina mana2 yang kenal dengan kau. Seharian aku down waktu malam baru ada kekuatan nak tahu siapa perempuan kau bagi pregnant tu. Puas aku letak watermark besar2 sebab nanti ada geng penunggang buat ni macam kisah dia lapar like.",,,
"Hi ada tak nk join my ticketing service ? I charge rm20 per tix , available only general & vvip standing , dm me now 🥰",,5sos Malaysia,
"guys im battling for standing zone today.. kalau dapat, I’m selling my 1x CAT 2 Section 320 Row B! I paid for RM593 selling at original price.",Please do let me know if u want. there’s only one ticket! bukan scam saya honest,5sos Malaysia,
Should I purchase a new ticket and sell the current one since it’s not the Cat I want? But is there anyone want to buy it if I sell it later 😭😭,,5sos Malaysia,
Asallamualaikum... Tak jwb dosa😄,,Malaysia Threads,
"So they have already confirmed there wont be any Day 2! Keep battling untuk besok guys, dont lose your hope yet! 💪🏻",,5sos Malaysia,
"Happy readings 📖
Malaysia cool libraries","Much Love, 
Le Ann☁️🌷 
ʜᴀᴠᴇ ᴀ ꜰʟᴏᴡᴇʀ ᴘʟᴇᴀꜱᴇ 𖤣.𖥧.𖡼.⚘ #editing #socialmedia #selfgrowth #money #career #motivation #remotework  #Selflove #confidence #selfcare #selfworth #mindset #gratitude #recovering",,
Orait tak orait geng? Sumpah paling smooth battle tix. 11am start. 11.05am payment completed hehe,,simple plan malaysia,
mcm ni la kerja saya hari2. Kalau stop je dia bising!,,Malaysia Threads,
Im legit crashing out right now. Wtf do you mean by no vip standing dah? I NAK VIP STANDING,,5sos Malaysia,
"First time seeing Malaysia Airline’s cabin crew being rude or rather, sarcastic.","A lady asked if she could get a blanket.
Cabin Crew: I bagi budak budak dulu. If ada extra baru I bagi ya. You don’t have your own jacket? Can wear jacket.",malaysia airlines,"Lady said she is feeling feverish hence the cold.
Cabin Crew: You have Panadol? Can take Panadol."
"Dear Malaysian,","If you want to earn like an expat, apply for jobs at international companies here in Malaysia. Never hesitate to apply. If you meet the criteria they’re looking for, even if you don’t perform well in the interview, you can still get the job because they value your knowledge and skills. Foreign companies don’t have the same judgmental mentality that some local companies here do. Instead of letting those positions stay vacant for too long, it’s better if you apply for them.",,
"For a someone that travelled around 41 countries with a Malaysian passport I think Spain is the easiest country to go through immigration,Just scan the passport when entering and leaving Spain,No immigration officer no questions nor restrictions (infact nak masuk
Mexico lebih complicated)",,Malaysia Threads,
Why the booking fees are EXPENSIVE??? RM60-70 extra fees per ticket is crazy wei.. Nvr have I ever purchase concert tix with dis expensive fees like???,,5sos Malaysia,
"Hi ada tak nk join my ticketing service ? I charge rm20 per tix , available only general & vvip standing , dm me now 🥰",,5sos live in malaysia,
"Hi. I nak let go dua tiket standing general admission, RM800 (RM358 each + service charge by ticketmelon). Boleh DM ya!",,simple plan malaysia,
Salam battle 5SOS,,5sos Malaysia,
"Dia faham ke tak maksud subsidi untuk WARGANEGARA MALAYSIA SAHAJA. Spouse visa ke, sijil nikah je tak laku okay. Rakyat pun struggle, banyak cantik nak sama rata. Rakyat Malaysia ada ic tapi takde lesen pun tak dapat RM 1.99 tuuuu 🙄",,,
"Habisla Pak Arab ni bila jabatan netizen mesia buat keje..sampai ke lubang cacing dikorek geng netizen..jangan main2 ngan jabatan netizen malaysia ni...siap pakat report kat website Medical Device Authority (MDA), siap check company Pak Arab tu takde license MDA dan penyalahgunaan logo MDA boleh kena kompaun up to rm200k..mendapatla jawabnya..
#isusemasa #rakyatmalaysia",,,
ni kenapa yaaaa?,,malaysia marathon 2026,
Top 10 companies dengan gaji Fresh Grad tertinggi di Malaysia tahun 2025,"• Petronas – RM 4,000 – RM 7,000
• AirAsia – RM 3,300 – RM 5,300
• Intel Corporation – RM 4,000 – RM 5,000
• Telekom Malaysia (TM) – RM 3,000 – RM 4,700
• TechnipFMC – RM 3,800 – RM 4,500
• Nestlé Malaysia – RM 3,000 – RM 4,500
• Maybank – RM 3,000 – RM 4,500
• Tenaga Nasional Berhad (TNB) – RM 3,400 – RM 4,000
• B. Braun Group – RM 3,200 – RM 4,000
• Sime Darby Berhad – RM 2,900 – RM 3,500",gajitinggi,Sumber: SAYS & Ricebowl
"Its getting realllll, gonna see ma boisss soon!!",,5sos Malaysia,
Hi warga threads!,"A leading financial institution in Malaysia is hiring a Priority Relationship Manager (permanent role) — perfect for someone who thrives in a client-facing, sales-driven environment.",cari kerja,"What you’ll do:
• Manage and grow a portfolio of affluent clients
• Cross-sell investment & banking products
• Acquire new Priority Banking clients
• Deliver personalised financial advice with internal specialists
• Drive revenue and expand market presence"
"Hi. I nak let go dua tiket standing general admission, RM800 (RM358 each + service charge by ticketmelon). Boleh DM ya!",,simple plan malaysia,
"Clensing my own timeline by posting photos from Sandakan, Sabah, Malaysia.","Dear algo, help me find my audience again.",photography,
Malaysia’s banks just posted their cleanest Q1 in years. That’s probably the problem.,,,
"Massive traffic all around Puchong due to one break down lorry at LDP near Tractor Malaysia. 
It's like a gridlock everywhere. When is",,,
im leaving Malaysia finally. Thank you God.,,,
Racism in Malaysia is very Real.,,,
Why is JB price so high???? The portion is small but the price is like 🚀📈 Orang JB semua guna Singapore Dollar ke?,,Malaysia Threads,
"golive really tested my patience yesterday. i feel like, today’s boutto be worse for the ones without tickets esp 😵‍💫 sending luck to everybody n pls, don’t get scammed online esp here on threads if ur re buying it from someone else!!",,5sos Malaysia,
"Hi Salam nak jual:
Model: Nintendo Switch
Version: OLED (Jailbreak)
Storage: 64GB
Colour: White
Jailbreak: Yes
Condition: 9.5/10 (Rarely use)
Set: Malaysia
Warranty: None
Price: RM1,050 best price","- Includes: Full Set, Console, Dock, Charger, Original Box
- Accessories: Carrying Case, Game Card Holder, Extra Thumb Grips, Screen Protector (installed), FREE memory card 256gb, wrapped console & dock, joycon case",Nintendo Switch,Cod area Ampang KL/ bukit bintang
We said goodbye to Malaysia… but we weren’t ready 🇲🇾🥺,"After weeks of food, family moments, and memories we’ll never forget, it was time to head home…through Abu Dhabi ✈️ and back to cold Ireland 🥶🇮🇪",VisitMalaysia2026,Malaysia gave us so much more than a holiday…
"850sqft tiny house located in Malaysia
—
Defined by its bold A-frame and metaldeck cladding, this Scandinavian tiny house blends warmth, light, and simplicity.",#malaysia #tinyhome #architecture #tinyhouse #byruangreka,,
"Hi ada tak nk join my ticketing service ? I charge rm20 per tix , available only general & vvip standing , dm me now for tomorrow presale 🥰",,5sos Malaysia,
We’re hiring a Content Creator!,RM3K–6K/month (inclusive of incentive),Genz,"If you’re Gen Z with a sharp eye for what actually works online, this is for you."
"Hii! I tengah cari fresh flower bouquet (mini) Preferably between RM30-RM50, KL area. Hmu please 🙏🏻",,Malaysia Threads,
what do you MEAN 5sos did outer space during the recent soundcheck because i need that for the show in malaysia please i'm begging,,5sos,
"wtb daniel caesar son of spergy tour in malaysia
need x2 24th may tickets",prefer vip but honestly dont mind any section,daniel caesar live in kl,
Comel je cara dia tengok ayah dia sambil dodoi dia🥹❤️,#xtra #viral #beritaterkini #malaysia #makcikbawang,,Sumber: uzmafa_
"Hold up im still puzzled, how r uguys can secure more than 1 tix less than 1mins? 😭 DAMNNNNNN",,5sos Malaysia,
"morning peeps, suggest lagu local indie malaysia please. Nak get inspired jap",,Indie Band Malaysia,
Is anyone still on the website.. I CANT GET TICKETS???? help a girlie out,,5sos Malaysia,
LIMA 2027 is set to redefine the future ✨,"The official dates for Langkawi International Maritime and Aerospace Exhibition 2027 have been announced, guided by the theme:",lima2027,"“Sustainable Vision Across Sea, Sky and Space.”"
​Who wants to learn German in Malaysia? 🙋‍♂️🙋‍♀️,"​As CEO of Lengua Translations, our company will expand and bring now high-quality German classes to the Peninsula.",,"​📍 Locations: Kelantan, Penang
📅 Starting: After Aidiladha."
"Looking for someone who is a kpop fan in Kuala Lumpur Malaysia , speak a bit of Korean and passionate in being an emcee.",,KPOP Malaysia,
"The time has come, Malaysia are on Top of the World 🏅",,,
"since this is my first ever concert, i have sooo many questions but hoping all my questions will be answered once the concert day is nearinggg🥹",,5sos Malaysia,
"hii party people :p anyone here managed to secure cat 1, section 308? i’m going solo and would love to make some friends before the concert 😓 feel free to hit me up💗!!",,5sos Malaysia,
"senior quantity surveyor exec signing off. till then, Starbucks Malaysia 🌟🧜‍♀️💖",,,
"Sneako, an online content creator known for his livestreams and commentary-style content, has identified Malaysia as his preferred destination during his Southeast Asia tour. Speaking in a recent livestream, he said he felt a stronger connection to Malaysia compared to other countries he visited.",malaymail sneako #malaysia,sneako,
"We’re hosting a language meetup in Mont Kiara!🇲🇾🇯🇵
For those who pre-register, the participation fee will be 50% off—RM10 instead of RM20 🙆‍♀️
Before the meetup, we’ll also go to a Japanese festival together 🙌
All the food there is FREE!
It’s happening on Saturday, May 16—anyone interested?",,malaysia,
"Malaysia is not an Islamic country. It is a multi-religious and multi-racial country. Ya agree, that maybe 60-70% is Muslim in Malaysia. But reminding this again, as non muslim have played a vital role together to develop our country. Rain Rave Festival is for non-Muslims to enjoy. If you believe this is haram in your religion, please don’t attend. Nobody is forcing you to join.I’ve also seen Malay Muslims attending the festival.Please think wisely instead of just blindly throwing words.",,,
GENERAL SALE AT 12PM 🤲🏻,,5sos Malaysia,
Letting go of my MCR ticket on 19 Nov. Zone C Section 101. RM499 (negotiable). Kalau interested boleh dm. Thank youu,,mcr live in malaysia,
This man rafiziramli has sacrificed so much for this nation. Have fought so hard against corruption for decades. Today he is being persecuted for fighting for Malaysia. He needs all our prayers. I firmly believe in his innocence. His valiant fight has no parallel. A true patriot,,,
Please follow me ya guys. I regularly update the latest job vacancies in Malaysia.,,HRthreads,
"Kelat started to show ""zoochosis"" sign and Kelat is now mentally distressed. Is this what our Perhilitan and NRES said conservation and enrichment effort?","Tennoji Zoo does not have a proper surrounding and natural habitat at all for Dara, Amoi and Kelat. Bring back DAK to Malaysia !",,
"i need tips for the day itselfff. concert goers for general standing, u guys selalu arrive what time to get barricade?",,5sos Malaysia,
Malaysia,,,
Looking to buy 2 tickets for CAT4. PM me if you're selling!,,5sos Malaysia,
The most beautiful places in Malaysia,,,
"Girl, if I were FA, i only need one day to move on 😂 After u burukkan about me openly in front of the whole of Malaysia..u think there’d still be any love left???Even if there was....it would disappear the moment you did that.....and FA has been patient...if it were me...I’d have exposed everything already😄There’s no way someone takde aib langsung utk 7 tahun bersama...i harap ini yg terakhir i layan manusia yg tk move on ye😬",,,
"Not everyone deserves a second chance u can give someone space n opportunity, but still end up getting hurt again unless they truly change for the better. Most person aren’t ready to appreciate the chances they are given n they take it lightly. Only when the opportunity is gone do they start to regret it. Whether in berkawan or hubungan, not everyone knows how to value what they have until it’s too late n everything is already lost.",,Malaysia Threads,
hope u really enjoy in Malaysia food/culture..,,APINKINKL,
Do you think Manchester United can win against Nottingham and Brighton in the last two matches? I do not think so. 🤫,,Malaysia Threads,
🚨🇮🇷 BREAKING:,An Iranian girl just won GOLD at the Malaysia International Invention Olympiad.,,She dedicated it to the martyred schoolgirls of Minab.
PRESALE SOLD OUT 🤲🏻,,5sos Malaysia,
"WEH SENANG GILAAAAAA NAK BATTLE TIX 5SOS NI WTF IN FREAKING 5 MINS JE ANDDDD ALL DONEEEEE HELL
YEAHHHHHHHHH LESGOURRRRRR😆💞💞",,5sos Malaysia,
"⭐️TEAM VIP STANDING⭐️
Congrats semua. Jumpa nanti! I’m going alone but tape kita ramai, lets be happy and enjoy together.","Mana yg malu2, mari kumpul2.",5sos Malaysia,
geram lah aku audience cuba duduk diam 😭 all the phones during the performance too when they already said to put down your phones…datang malaysia je lah tis jwanji kitorg kumpul fon sebelum concert pon boleh,,,
VIP STANDING SECURED IN UNDER 5 MINUTES I WAS SHAKING SO MUCH I BAWLED MY EYES OUT,,5sos Malaysia,
Hi. I nak buat ticketing service for presale 5SOS in KL today. Only RM25 per ticket. DM me if interested. Skrg tgh queue ~,,5sos Malaysia,
"hi, doing ticketing service again — this time for 5sos in KL. am queuing for standing pm me kalau mahu sekalii",,5sos Malaysia,
"I love drawing but sadly i need to put it aside... Getting money from doing art commission is actually really hard. And i  need think of ahead so, i decide to find a stable job instead. Nak² aku duduk malaysia ni mmg idok la",,,
Koranggg !!!! Cubaaaa teka kami bergossip pasal artis yang mana satu! Kalau betul i belanja lunch mangku tingkat!,,Malaysia Threads,
ALERT! PERHATIAN SEMUA!,Demo rasmi oleh aktivis D.A.K,Malaysia Threads,"Tarikh: Selasa, 5 MEI. 
Lokasi: Pejabat Majlis Perbandaran Taiping
Masa: 2.30 petang."
LAST CALL ‼️ i managed to get 4 tickets yesterday !,,5sos Malaysia,
Do you guys know we can actually claim tax relief for being 'artsy' this year???,"Under the 2026 Domestic Tourism Relief, we get a special individual claim of up to RM1,000 for entrance fees to museums, cultural programs, and even arts exhibitions 🤩💗",Malaysia truly Asia,"It’s honestly such a cool move to support our heritage and local scene. 
Just make sure the venue is a 'local tourist attraction' and keep your receipts for the 2026 assessment year. What a win for the arts community! 🇲🇾🙌"
"3 posts for malaysia from siti nur chorong, 35, jelebu... ouuuu apink is so coming back here",,APINKINKL,
"I will never forgive what Conservative Malays did to neurodivergent people, Queer people and other races.",,malaysia,
San Choi Wreck 📍Perhentian Island,"Probably one of the most famous dive sites now here. Sitting at just 18m, this wreck is house to thousand of marine life. Just watch the video!",Scuba Diving Malaysia,Video by bridgetglynn
"Secured all x40 tickets for our customers today✨
Thank you for trusting us 🫶🏻",NO EXTRA‼️ we’re not reseller,5sos in malaysia,
"im not happy at all but i know i should be right? cuz i can see them and listen to them live no matter which package i got..but man im so disappointed, sad, depressed and anxious..i got the vip seating but at what cost?..",,5sos Malaysia,
IM GOING TO BATTLE FOR TMRW GENERAL SALE. ALL OF U PLS MAKE WAY FOR ME I WANT CAT3 STANDING IM BEGGING. IVE BEEN RELOADING THE WEBSITE SINCE THE PRESALE STARTS UNTIL IT SOLD OUT AND I STILL DONT GET IT 💔💔💔💔 crying throwing up rn bye 😔,,5sos Malaysia,
pleaseee lahh i just need 2 tickets 😭😭🙏🏻,,5sos Malaysia,
any sarawakian yg pergi konsert 5sos sorang especially from kuching ? we can plan go concert together 😁,,5sos Malaysia,
salam... siapa cat 1 sect 302 (specifically row C) kawan with me please. im going alone bc target nak cat 2 w my friend tapi cam biasa la seat yang best always go to scalpers and larpers. in the end only got 1 tix... please juseyo jebal somebody reply im a 25 yo teen,,5sos Malaysia,
WTB CAT3 STANDING 3X PLEASEEEEEE 😭😭🙏🏻🙏🏻🙏🏻🙏🏻,,5sos Malaysia,
"3 posts for malaysia from siti nur chorong, 35, jelebu... ouuuu apink is so coming back here",,APINKINKL,
"im not happy at all but i know i should be right? cuz i can see them and listen to them live no matter which package i got..but man im so disappointed, sad, depressed and anxious..i got the vip seating but at what cost?..",,5sos Malaysia,
This is Malaysia???,,,
